case_id,model,model_snapshot,provider,endpoint,condition,replicate_index,prompt_version_hash,temperature,timestamp,attempt_index,raw_response_text,parsed_score,parsed_verdict,parsed_confidence,parsed_rubric_market_potential,parsed_rubric_technical_feasibility,parsed_rubric_business_viability,parsed_reasoning,validity_flag
CASE_KS_010,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:56.543615,1," {
  ""score"": 5,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 1,
    ""technical_feasibility"": 3,
    ""business_viability"": 1
  },
  ""reasoning"": ""Limited market potential for a niche social experiment, questionable technical feasibility as a software solution, and unclear business model.""
}",5,pass,70,1,3,1,"Limited market potential for a niche social experiment, questionable technical feasibility as a software solution, and unclear business model.",True
CASE_KS_001,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:55.978107,1," {
  ""score"": 5,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 0,
    ""technical_feasibility"": 5,
    ""business_viability"": 1
  },
  ""reasoning"": ""Lack of clear business model or product, focusing on events rather than a scalable software solution. Limited market potential as it seems to be a local event.""
}",5,pass,80,0,5,1,"Lack of clear business model or product, focusing on events rather than a scalable software solution. Limited market potential as it seems to be a local event.",True
CASE_KS_006,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:56.539062,1," {
  ""score"": 6,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 5,
    ""business_viability"": 2
  },
  ""reasoning"": ""Limited market potential due to niche product and high price point. Technical feasibility is high given the traditional nature of the product. Business viability is low due to potential production costs and limited target audience.""
}",6,pass,80,3,5,2,Limited market potential due to niche product and high price point. Technical feasibility is high given the traditional nature of the product. Business viability is low due to potential production costs and limited target audience.,True
CASE_KS_002,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:56.534041,1," {
  ""score"": 6,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 4,
    ""business_viability"": 3
  },
  ""reasoning"": ""Limited market potential due to focus on CUNY students, feasibility is moderate as it's a skills development program, but business viability is low due to lack of clear revenue streams or scalability beyond CUNY.""
}",6,pass,80,3,4,3,"Limited market potential due to focus on CUNY students, feasibility is moderate as it's a skills development program, but business viability is low due to lack of clear revenue streams or scalability beyond CUNY.",True
CASE_KS_007,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:56.539874,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 4,
    ""business_viability"": 4
  },
  ""reasoning"": ""The idea has potential in the growing health and fitness market. However, it lacks unique selling points to differentiate itself from existing apps. Technical feasibility is achievable given the current technology landscape. Business viability can be improved by focusing on user acquisition and retention strategies.""
}",7,invest,80,4,4,4,"The idea has potential in the growing health and fitness market. However, it lacks unique selling points to differentiate itself from existing apps. Technical feasibility is achievable given the current technology landscape. Business viability can be improved by focusing on user acquisition and retention strategies.",True
CASE_KS_004,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:56.535830,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 4,
    ""business_viability"": 5
  },
  ""reasoning"": ""The idea combines two popular platforms, Ebay and YouTube, which suggests a strong market potential. However, the technical feasibility is questionable due to the complexity of integrating video content and e-commerce functionalities. The business viability is high due to the potential for user engagement and monetization opportunities.""
}",7,invest,85,4,4,5,"The idea combines two popular platforms, Ebay and YouTube, which suggests a strong market potential. However, the technical feasibility is questionable due to the complexity of integrating video content and e-commerce functionalities. The business viability is high due to the potential for user engagement and monetization opportunities.",True
CASE_KS_008,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:56.540775,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 4,
    ""business_viability"": 5
  },
  ""reasoning"": ""The idea shows potential for a niche market in NYC, where parking is a significant issue. The technical feasibility is moderate due to the existing competition in the valet and ride-hailing services. However, the business viability is high due to the convenience and time-saving aspect of the service.""
}",7,invest,80,4,4,5,"The idea shows potential for a niche market in NYC, where parking is a significant issue. The technical feasibility is moderate due to the existing competition in the valet and ride-hailing services. However, the business viability is high due to the convenience and time-saving aspect of the service.",True
CASE_KS_003,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:56.534953,1," {
  ""score"": 6,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 1
  },
  ""reasoning"": ""The novelty of a fusion reactor inside a bubblegum machine is intriguing, but the market potential is limited due to the niche audience and high safety concerns. The technical feasibility is somewhat promising, but the business viability is questionable due to the high costs and regulatory hurdles involved in fusion technology.""
}",6,pass,80,2,4,1,"The novelty of a fusion reactor inside a bubblegum machine is intriguing, but the market potential is limited due to the niche audience and high safety concerns. The technical feasibility is somewhat promising, but the business viability is questionable due to the high costs and regulatory hurdles involved in fusion technology.",True
CASE_KS_005,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:56.536646,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 5,
    ""business_viability"": 4
  },
  ""reasoning"": ""The concept of a curated video space for non-fiction storytelling and art has a niche market potential. The technical feasibility is high given the existing software infrastructure for video platforms. However, the business viability score is lower due to the competitive landscape and the need for a unique value proposition to attract users and filmmakers.""
}",7,invest,85,4,5,4,"The concept of a curated video space for non-fiction storytelling and art has a niche market potential. The technical feasibility is high given the existing software infrastructure for video platforms. However, the business viability score is lower due to the competitive landscape and the need for a unique value proposition to attract users and filmmakers.",True
CASE_KS_009,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:41:56.543129,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 5,
    ""business_viability"": 4
  },
  ""reasoning"": ""The idea has a strong potential to address a significant social issue (DUI deaths). The technical feasibility is high given the existing on-demand app model and the availability of return technology. However, the market potential is limited due to competition from existing ride-sharing services. The business viability score is lower due to the need for partnerships with scooter, BART, bus companies, and the challenge of attracting volunteers or employees as drivers.""
}",7,invest,80,4,5,4,"The idea has a strong potential to address a significant social issue (DUI deaths). The technical feasibility is high given the existing on-demand app model and the availability of return technology. However, the market potential is limited due to competition from existing ride-sharing services. The business viability score is lower due to the need for partnerships with scooter, BART, bus companies, and the challenge of attracting volunteers or employees as drivers.",True
