case_id,model,model_snapshot,provider,endpoint,condition,replicate_index,prompt_version_hash,temperature,timestamp,attempt_index,raw_response_text,parsed_score,parsed_verdict,parsed_confidence,parsed_rubric_market_potential,parsed_rubric_technical_feasibility,parsed_rubric_business_viability,parsed_reasoning,validity_flag
CASE_KS_008,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.888799,1,"```json
{
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 75,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 3,
    ""business_viability"": 4
  },
  ""reasoning"": ""The concept targets a high-demand market in NYC with a clear value proposition. However, technical execution and scaling logistics need careful planning.""
}
```",7,invest,75,4,3,4,"The concept targets a high-demand market in NYC with a clear value proposition. However, technical execution and scaling logistics need careful planning.",True
CASE_KS_009,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.889491,1,"```json
{
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 75,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 3,
    ""business_viability"": 4
  },
  ""reasoning"": ""The concept addresses a critical social issue with a potentially large market. However, the technical integration of various transport modes and ensuring driver availability could be challenging.""
}
```",7,invest,75,4,3,4,"The concept addresses a critical social issue with a potentially large market. However, the technical integration of various transport modes and ensuring driver availability could be challenging.",True
CASE_KS_010,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.890022,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 3,
    ""business_viability"": 2
  },
  ""reasoning"": ""The concept lacks a clear scalable business model and market demand. While the social experiment aspect is intriguing, it does not translate into a viable software product or service.""
}
```",3,pass,80,2,3,2,"The concept lacks a clear scalable business model and market demand. While the social experiment aspect is intriguing, it does not translate into a viable software product or service.",True
CASE_KS_005,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.882295,1,"```json
{
  ""score"": 6,
  ""verdict"": ""invest"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 3,
    ""business_viability"": 3
  },
  ""reasoning"": ""The concept taps into the growing demand for diverse storytelling and art, with a strong niche in non-fiction. However, competition and monetization strategies need careful consideration.""
}
```",6,invest,70,4,3,3,"The concept taps into the growing demand for diverse storytelling and art, with a strong niche in non-fiction. However, competition and monetization strategies need careful consideration.",True
CASE_KS_006,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.883629,1,"```json
{
  ""score"": 4,
  ""verdict"": ""pass"",
  ""confidence"": 75,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 4,
    ""business_viability"": 3
  },
  ""reasoning"": ""The product has a niche appeal with potential in the luxury home decor market, but faces stiff competition from established brands. The custom, handmade nature may limit scalability and profitability.""
}
```",4,pass,75,3,4,3,"The product has a niche appeal with potential in the luxury home decor market, but faces stiff competition from established brands. The custom, handmade nature may limit scalability and profitability.",True
CASE_KS_003,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.879348,1,"```json
{
  ""score"": 2,
  ""verdict"": ""pass"",
  ""confidence"": 95,
  ""rubric_scores"": {
    ""market_potential"": 1,
    ""technical_feasibility"": 0,
    ""business_viability"": 1
  },
  ""reasoning"": ""The concept of a fusion reactor in a bubblegum machine is scientifically implausible and lacks a clear market need or application, making it neither technically feasible nor viable as a business.""
}
```",2,pass,95,1,0,1,"The concept of a fusion reactor in a bubblegum machine is scientifically implausible and lacks a clear market need or application, making it neither technically feasible nor viable as a business.",True
CASE_KS_001,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.032627,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 3,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks a clear value proposition beyond event funding, with limited market potential and unclear business model. Technical feasibility is moderate, but without a sustainable business plan, investment is not advisable.""
}
```",3,pass,85,2,3,2,"The idea lacks a clear value proposition beyond event funding, with limited market potential and unclear business model. Technical feasibility is moderate, but without a sustainable business plan, investment is not advisable.",True
CASE_KS_007,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.887222,1,"```json
{
  ""score"": 6,
  ""verdict"": ""invest"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 3,
    ""business_viability"": 3
  },
  ""reasoning"": ""The fitness app addresses a large market with a focus on simplifying calorie counting, which is a common pain point. However, competition is fierce, and technical execution will be crucial for differentiation.""
}
```",6,invest,70,4,3,3,"The fitness app addresses a large market with a focus on simplifying calorie counting, which is a common pain point. However, competition is fierce, and technical execution will be crucial for differentiation.",True
CASE_KS_002,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.878046,1,"```json
{
  ""score"": 4,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The program targets a niche market with limited scalability beyond CUNY, posing challenges in business viability and market potential. However, the concept is technically feasible and could be impactful within its current scope.""
}
```",4,pass,70,3,4,2,"The program targets a niche market with limited scalability beyond CUNY, posing challenges in business viability and market potential. However, the concept is technically feasible and could be impactful within its current scope.",True
CASE_KS_004,models/phi-4,models/phi-4,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T11:04:12.880803,1,"```json
{
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 75,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 3,
    ""business_viability"": 4
  },
  ""reasoning"": ""The concept of combining eBay's marketplace with YouTube's video platform has strong market potential, especially for visual products. However, technical challenges in integrating these functionalities and ensuring a seamless user experience could be significant.""
}
```",7,invest,75,4,3,4,"The concept of combining eBay's marketplace with YouTube's video platform has strong market potential, especially for visual products. However, technical challenges in integrating these functionalities and ensuring a seamless user experience could be significant.",True
