case_id,model,condition,flip_rate,self_consistency_rate,score_variance,score_sd,rubric_profile_distance,R_valid
CASE_KS_001,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_002,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_003,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_004,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_005,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_006,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_007,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_008,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_009,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_010,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_011,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_012,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_013,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_014,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.026666666666666665,10
CASE_KS_015,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_016,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_017,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_018,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_019,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_020,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_021,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_022,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_023,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_024,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_025,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_001,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_002,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_003,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_004,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_005,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_006,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_007,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_008,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_009,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_010,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_011,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_012,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_013,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_014,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_015,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_016,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_017,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_018,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_019,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_020,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_021,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_022,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_023,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_024,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_025,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
