case_id,model,model_snapshot,provider,endpoint,condition,replicate_index,prompt_version_hash,temperature,timestamp,attempt_index,raw_response_text,parsed_score,parsed_verdict,parsed_confidence,parsed_rubric_market_potential,parsed_rubric_technical_feasibility,parsed_rubric_business_viability,parsed_reasoning,validity_flag
CASE_KS_002,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.902693,1,"{
  ""score"": 4,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The concept has potential but lacks clear market demand and business model.""
}",4,pass,70,3,4,2,The concept has potential but lacks clear market demand and business model.,True
CASE_KS_008,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.912420,1,"{
  ""score"": 4,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The concept has some market potential but lacks detail on technical execution and business model.""
}",4,pass,70,3,4,2,The concept has some market potential but lacks detail on technical execution and business model.,True
CASE_KS_005,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.910133,1,"{
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 5,
    ""business_viability"": 4
  },
  ""reasoning"": ""The concept has strong market potential but needs clearer business model and technical execution details.""
}",7,invest,85,4,5,4,The concept has strong market potential but needs clearer business model and technical execution details.,True
CASE_KS_007,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.911490,1,"{
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 5,
    ""business_viability"": 3
  },
  ""reasoning"": ""The concept has potential but needs clearer value proposition and business model. Technical execution seems feasible.""
}",7,invest,85,4,5,3,The concept has potential but needs clearer value proposition and business model. Technical execution seems feasible.,True
CASE_KS_003,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.905743,1,"{
  ""score"": 4,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The concept is novel but the market potential and business viability seem low. Technical feasibility is plausible.""
}",4,pass,70,3,4,2,The concept is novel but the market potential and business viability seem low. Technical feasibility is plausible.,True
CASE_KS_006,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.910568,1,"{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The concept is unique but the market potential and business viability seem limited given the niche nature of the product.""
}",3,pass,70,2,4,2,The concept is unique but the market potential and business viability seem limited given the niche nature of the product.,True
CASE_KS_009,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.913175,1,"{
  ""score"": 4,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The concept has some merit but lacks clarity and market differentiation. Technical feasibility seems achievable, but business viability is uncertain.""
}",4,pass,70,3,4,2,"The concept has some merit but lacks clarity and market differentiation. Technical feasibility seems achievable, but business viability is uncertain.",True
CASE_KS_004,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.909519,1,"{
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 3,
    ""business_viability"": 5
  },
  ""reasoning"": ""The concept has significant market potential by combining entertainment and commerce. However, technical feasibility and business viability need more detailed exploration.""
}",7,invest,85,4,3,5,"The concept has significant market potential by combining entertainment and commerce. However, technical feasibility and business viability need more detailed exploration.",True
CASE_KS_010,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.913681,1,"{
  ""score"": 2,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 1,
    ""technical_feasibility"": 3,
    ""business_viability"": 1
  },
  ""reasoning"": ""The concept lacks clear market demand and business model. Improvisational fixing may not have a large audience or revenue potential.""
}",2,pass,70,1,3,1,The concept lacks clear market demand and business model. Improvisational fixing may not have a large audience or revenue potential.,True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-21T10:24:44.156904,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
