case_id,model,condition,flip_rate,self_consistency_rate,score_variance,score_sd,rubric_profile_distance,R_valid
CASE_KS_001,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_002,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_003,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_004,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_005,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_006,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_007,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_008,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_009,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_010,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_011,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_012,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_013,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_014,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_015,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_016,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_017,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_018,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_019,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_020,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_021,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_022,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_023,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_024,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_025,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_026,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_027,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_028,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_029,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_030,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_031,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_032,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_033,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_034,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_035,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_036,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_037,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_038,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_039,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_040,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_001_N,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_001_P,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_002_S,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_002_W,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_003_B,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_003_N,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_004_A,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_004_C,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_005_H,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYNTH_005_L,models/Qwen2.5-7B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
