case_id,model,model_snapshot,provider,endpoint,condition,replicate_index,prompt_version_hash,temperature,timestamp,attempt_index,raw_response_text,parsed_score,parsed_verdict,parsed_confidence,parsed_rubric_market_potential,parsed_rubric_technical_feasibility,parsed_rubric_business_viability,parsed_reasoning,validity_flag
CASE_KS_006,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:31.476786,1," {
  ""score"": 6,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 5,
    ""business_viability"": 3
  },
  ""reasoning"": ""Niche market with limited appeal, but technically feasible product. However, the business model lacks scalability and competition is high in the home decor market.""
}",6,pass,80,3,5,3,"Niche market with limited appeal, but technically feasible product. However, the business model lacks scalability and competition is high in the home decor market.",True
CASE_KS_010,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:31.482597,1," {
  ""score"": 4,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""Limited market potential due to niche focus, feasibility is moderate as repair events can be organized, but business viability is low as it lacks a scalable revenue model.""
}",4,pass,80,2,4,2,"Limited market potential due to niche focus, feasibility is moderate as repair events can be organized, but business viability is low as it lacks a scalable revenue model.",True
CASE_KS_009,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:31.481756,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 4,
    ""business_viability"": 5
  },
  ""reasoning"": ""Strong market potential in addressing a pressing social issue (DUI deaths). The multi-modal approach increases versatility. While technical challenges exist, the business model seems viable with a focus on driver return technology.""
}",7,invest,85,4,4,5,"Strong market potential in addressing a pressing social issue (DUI deaths). The multi-modal approach increases versatility. While technical challenges exist, the business model seems viable with a focus on driver return technology.",True
CASE_KS_001,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:30.806449,1," {
  ""score"": 4,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 3,
    ""technical_feasibility"": 5,
    ""business_viability"": 2
  },
  ""reasoning"": ""Limited market potential as it's a local event, and the business model relies on sponsorships for revenue. While technically feasible, the lack of a scalable or innovative aspect reduces its long-term viability.""
}",4,pass,80,3,5,2,"Limited market potential as it's a local event, and the business model relies on sponsorships for revenue. While technically feasible, the lack of a scalable or innovative aspect reduces its long-term viability.",True
CASE_KS_008,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:31.480078,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 4,
    ""business_viability"": 5
  },
  ""reasoning"": ""Strong market potential in NYC's urban professional demographic. While technical feasibility is achievable, the unique selling point lies in the business model's viability, leveraging existing infrastructure and offering a premium service.""
}",7,invest,85,4,4,5,"Strong market potential in NYC's urban professional demographic. While technical feasibility is achievable, the unique selling point lies in the business model's viability, leveraging existing infrastructure and offering a premium service.",True
CASE_KS_003,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:31.473572,1," {
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 0,
    ""technical_feasibility"": 2,
    ""business_viability"": 1
  },
  ""reasoning"": ""Limited market potential for a niche, scientific product. Technical feasibility is questionable given the complexity and safety concerns of nuclear fusion. Business viability is low due to high costs, regulatory hurdles, and lack of scalability.""
}",3,pass,80,0,2,1,"Limited market potential for a niche, scientific product. Technical feasibility is questionable given the complexity and safety concerns of nuclear fusion. Business viability is low due to high costs, regulatory hurdles, and lack of scalability.",True
CASE_KS_004,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:31.474765,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 4,
    ""business_viability"": 4
  },
  ""reasoning"": ""The concept of a video-commerce marketplace has potential in the growing e-commerce and video streaming markets. However, the success of IVIOU will depend on its ability to differentiate itself from existing platforms and overcome technical challenges related to seamless video-to-purchase integration.""
}",7,invest,85,4,4,4,"The concept of a video-commerce marketplace has potential in the growing e-commerce and video streaming markets. However, the success of IVIOU will depend on its ability to differentiate itself from existing platforms and overcome technical challenges related to seamless video-to-purchase integration.",True
CASE_KS_007,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:31.478735,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 5,
    ""business_viability"": 4
  },
  ""reasoning"": ""The fitness app market is saturated, but Kilojoules' focus on data-driven insights could differentiate it. Technical feasibility is high due to the existing technology for tracking nutrition and exercise. Business viability is moderate due to competition, but the potential for recurring revenue through premium features could make it a strong investment.""
}",7,invest,85,4,5,4,"The fitness app market is saturated, but Kilojoules' focus on data-driven insights could differentiate it. Technical feasibility is high due to the existing technology for tracking nutrition and exercise. Business viability is moderate due to competition, but the potential for recurring revenue through premium features could make it a strong investment.",True
CASE_KS_005,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:31.475786,1," {
  ""score"": 7,
  ""verdict"": ""invest"",
  ""confidence"": 85,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 4,
    ""business_viability"": 5
  },
  ""reasoning"": ""The niche focus on non-fiction storytelling and art from around the world presents a unique market opportunity. The dedicated distribution platform for filmmakers is a valuable service. While the technical feasibility is moderate due to the competitive video streaming market, the business viability is strong due to the potential for recurring revenue from subscription fees and partnerships.""
}",7,invest,85,4,4,5,"The niche focus on non-fiction storytelling and art from around the world presents a unique market opportunity. The dedicated distribution platform for filmmakers is a valuable service. While the technical feasibility is moderate due to the competitive video streaming market, the business viability is strong due to the potential for recurring revenue from subscription fees and partnerships.",True
CASE_KS_002,models/Mistral-7B-Instruct-v0.3,models/Mistral-7B-Instruct-v0.3,vllm,http://localhost:8000/v1,C2,1,3bb65d16,0.0,2026-08-29T00:59:31.472667,1," {
  ""score"": 6,
  ""verdict"": ""pass"",
  ""confidence"": 80,
  ""rubric_scores"": {
    ""market_potential"": 4,
    ""technical_feasibility"": 5,
    ""business_viability"": 3
  },
  ""reasoning"": ""While the idea has potential to create positive impact within CUNY, the market potential is limited due to its focus on a specific educational institution. Technical feasibility is high as it involves organizing and activism training, a well-established practice. However, the business viability is questionable due to potential funding challenges and scalability beyond CUNY.""
}",6,pass,80,4,5,3,"While the idea has potential to create positive impact within CUNY, the market potential is limited due to its focus on a specific educational institution. Technical feasibility is high as it involves organizing and activism training, a well-established practice. However, the business viability is questionable due to potential funding challenges and scalability beyond CUNY.",True
