case_id,model,condition,flip_rate,self_consistency_rate,score_variance,score_sd,rubric_profile_distance,R_valid
CASE_KS_001,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_001,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_002,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_002,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.047407407407407405,10
CASE_KS_003,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_003,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_004,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_004,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.013333333333333336,10
CASE_KS_005,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_005,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_006,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_006,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_007,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_007,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_008,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_008,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_009,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_009,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.026666666666666672,10
CASE_KS_010,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_010,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_011,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.026666666666666665,10
CASE_KS_011,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_012,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_012,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_013,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.09999999999999999,0.31622776601683794,0.026666666666666665,10
CASE_KS_013,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_014,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_014,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_015,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_015,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_016,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_016,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_017,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_017,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_018,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_018,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_019,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_019,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_020,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_020,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_021,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_021,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_022,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_022,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_023,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.026666666666666665,10
